Nachname|Vorname|Geburtsdatum|Namenszusatz|Geburtsname|Geburtsort|Ortsteil|Telefon-Nr.|E-Mail|2. Staatsang.|Externe ID-Nr|Sportbefreiung|Fahrschülerart|Haltestelle|Einschulungsart|Entlassdatum|Entlassjahrgang|Datum Schulwechsel|Bemerkungen|BKAZVO|BeginnBildungsgang|Anmeldedatum|Bafög|EP-Jahre|Fax/Mobilnr|Ausweisnummer|schulische E-Mail|Masern-Impfnachweis
Both|Erik|17.09.2004|||Nottuln||01234-212294|E.Both@smail.de||||||51||EF|||||27.02.2014|N|2|0189-361188||leo.bludau@neg-velbert.de|N
Breton|Christin|31.05.2004|||Dortmund||01234-494506|C.Breton@smail.de||||||51||EF|||||26.02.2014|N|2|0189-127614||lara.sand@neg-velbert.de|N
Büssing|Manuela|03.09.2004|||Münster||01234-288115|M.Büssing@smail.de||||||51||EF|||||26.02.2014|N|2|0189-546145||antonia.grimmert@neg-velbert.de|N
Chausse|Annett|25.11.2003|||Fröndenberg||01234-493270|A.Chausse@smail.de||||||51||EF|||||28.02.2014|N|2|0189-546233||ann.engnath@neg-velbert.de|N
Crump|Ines|05.01.2005|||Bochum||01234-457300|I.Crump@smail.de|475|||||51||EF|||||22.08.2018|N|2|0189-465807||judi.alrifai@neg-velbert.de|N
Darick|Christin|14.02.2004|||Bonn||01234-615040|C.Darick@smail.de||||||51||EF|||||27.02.2014|N|2|0189-326157||jayne.sinnhoefer@neg-velbert.de|N
Daum|Matthias|27.11.2003|||Ennigerloh||01234-901919|M.Daum@smail.de||||||51||EF|||||04.06.2014|N|2|0189-674027||behnan.mueslueman@neg-velbert.de|N
de Peyrelongue|Ralf|14.02.2004|||Mülheim||01234-383452|R.de Peyrelongue@smail.de||||||51||EF|||||26.02.2014|N|2|0189-999679||mario.kolev@neg-velbert.de|N
Deuter|Leon|01.11.2002|||Düsseldorf||01234-920329|L.Deuter@smail.de||||||51|||||||01.08.2012|N|2|0189-819945||lars.beckmann@neg-velbert.de|N
Düsterbeck|Kristin|16.02.2004|||Mönchengladbach||01234-695153|K.Düsterbeck@smail.de||||||51||EF|||||26.02.2014|N|2|0189-331560||ediona.bytyqi@neg-velbert.de|N
Eschholtz|Torsten|21.09.2004|||Lippstadt||01234-242153|T.Eschholtz@smail.de|137|||||51||EF|||||27.02.2014|N|2|0189-904537||gianluca.violano@neg-velbert.de|N
Gebhard|Swen|30.03.2004|||Stadtlohn||01234-219354|S.Gebhard@smail.de||||||51||EF|||||27.02.2014|N|2|0189-150855||emre.erinci@neg-velbert.de|N
Genster|Laura|11.05.2004|||Köln||01234-716385|L.Genster@smail.de|137|||||51||EF|||||27.02.2014|N|2|0189-395507||sara.passaler@neg-velbert.de|N
Gerhard|Annett|15.09.2004|||Bad Godesberg||01234-504913|A.Gerhard@smail.de||||||52||EF|||||27.02.2014|N|2|0189-548014||franziska.unthan@neg-velbert.de|N
Gerhard|Eric|10.02.2004|||Düsseldorf||01234-538179|E.Gerhard@smail.de||||||51||EF|||||26.02.2014|N|2|0189-121279||justus.wissel@neg-velbert.de|N
Giske|Anke|10.04.2004|||Wuppertal||01234-175754|A.Giske@smail.de||||||53|31.07.2020|EF|||||01.08.2014|N|2|0189-243254||wlla.alhalabi@neg-velbert.de|N
Gogol|Ines|10.12.2004|||Delbrück||01234-145594|I.Gogol@smail.de||||||51||EF|||||28.02.2014|N|2|0189-554960||lena.somberg@neg-velbert.de|N
Grant|Klaudia|22.11.2004|||Oberhausen||01234-104492|K.Grant@smail.de||||||51||EF|||||28.02.2014|N|2|0189-153191||chaia.weston@neg-velbert.de|N
Gulich|Katja|18.03.2003|||Herne||01234-915331|K.Gulich@smail.de||||||51||EF|||||01.08.2013|N|2|0189-372791||kristina.mladenovic@neg-velbert.de|N
Günst|Benjamin|15.05.2003|||Meerbusch||01234-570995|B.Günst@smail.de||||||51||EF|||||07.03.2019|N|2|0189-504442||jan.holzhauer@neg-velbert.de|N
Hackewitz|Dieter|27.12.2003|||Ratingen||01234-548253|D.Hackewitz@smail.de||||||51||EF|||||26.02.2014|N|2|0189-623445||dorian.bucko@neg-velbert.de|N
Hanssen|Marina|16.11.2004|||Olpe||01234-744130|M.Hanssen@smail.de||||||51|||||||25.06.2020|N|2|0189-227496||charlotte.meurer@neg-velbert.de|N
Hatzfeld|Christin|09.08.2004|||Warendorf||01234-753362|C.Hatzfeld@smail.de||||||51||EF|||||26.02.2014|N|2|0189-329565||dijana.neziri@neg-velbert.de|N
Hau|Thorsten|23.11.2003|||Kerken||01234-895109|T.Hau@smail.de|163|||||51||EF|||||28.02.2014|N|2|0189-579694||yusuf.yanmaz@neg-velbert.de|N
Heinrich|Claudia|08.05.2004|||Olpe||01234-984332|C.Heinrich@smail.de||||||51||EF|||||28.02.2014|N|2|0189-581511||sila.yigit@neg-velbert.de|N
Hoffham|Gabriele|02.04.2004|||Herford||01234-537306|G.Hoffham@smail.de||||||51||EF|||||09.04.2019|N|2|0189-182353||lilly.lammert@neg-velbert.de|N
Hoffmann|Tobias|26.02.2004|||Neuss||01234-759783|T.Hoffmann@smail.de||||||51||EF|||||26.02.2014|N|2|0189-552335||jan.genssler@neg-velbert.de|N
Hofmann|Dirk|23.11.2004|||Hennef||01234-313991|D.Hofmann@smail.de||||||51||EF|||||26.02.2014|N|2|0189-961806||noah.kalman@neg-velbert.de|N
Hogen|Laura|22.09.2003|||Iserlohn||01234-632568|L.Hogen@smail.de||||||51||EF|||||11.03.2014|N|2|0189-783057||julia.schroeder@neg-velbert.de|N
Ingwersen|Sophie|29.11.2004|||Bad Berleburg||01234-858381|S.Ingwersen@smail.de|130|||||51||EF|||||27.02.2014|N|2|0189-997832||anna.sucic@neg-velbert.de|N
Jebsen|Stephanie|06.08.2004|||Werther||01234-342779|S.Jebsen@smail.de|163|||||51||EF|||||26.02.2014|N|2|0189-681306||aylin.sahin@neg-velbert.de|N
Jennings|Kristin|28.06.2004|||Kerpen||01234-819927|K.Jennings@smail.de||||||51||EF|||||08.01.2016|N|2|0189-410408||jolina.markus@neg-velbert.de|N
Jonas|Andreas|21.04.2002|||Hamm||01234-846891|A.Jonas@smail.de||||||51||EF|||||14.03.2019|N|3|0189-312728||alexander.dochlenko@neg-velbert.de|N
Jones|Klaudia|24.07.2002|||Essen||01234-934396|K.Jones@smail.de|163|||||51||EF|||||07.03.2019|N|3|0189-212716||zeynep.guerlek@neg-velbert.de|N
Jüpsien|Simone|30.06.2004|||Titz||01234-255264|S.Jüpsien@smail.de||||||51||EF|||||28.02.2014|N|2|0189-872114||azize.fitoz@neg-velbert.de|N
Kammerer|Lisa|09.10.2004|||Kevelaer||01234-361919|L.Kammerer@smail.de|451|||||51||EF|||||28.02.2014|N|2|0189-560070||silvana.mzeihem@neg-velbert.de|N
Kerstiens|Stephan|07.02.2004|||Essen||01234-298257|S.Kerstiens@smail.de||||||51||EF|||||26.02.2014|N|2|0189-630899||etienne.buchwald@neg-velbert.de|N
Knottner|Peter|15.09.2002|||Rheine||01234-433854|P.Knottner@smail.de||||||51||EF|||||05.08.2015|N|2|0189-253172||olaf.mikos@neg-velbert.de|N
Köhn|Jörg|07.02.2004|||Mülheim||01234-288074|J.Köhn@smail.de||||||51||EF|||||11.03.2015|N|2|0189-487207||luis.scheffer@neg-velbert.de|N
Kortmann|Lea|08.05.2003|||Erftstadt||01234-674428|L.Kortmann@smail.de||||||51||EF|||||06.03.2019|N|2|0189-304203||patricia.fischer@neg-velbert.de|N
Kraus|Sandra|12.10.2003|||Duisburg||01234-668433|S.Kraus@smail.de|161|||||51||EF|||||28.02.2014|N|2|0189-167039||carmen.cortes@neg-velbert.de|N
Kube|Jessika|23.11.2002|||Datteln||01234-797596|J.Kube@smail.de||||||51||EF|||||07.03.2019|N|2|0189-154792||maike.neumann@neg-velbert.de|N
Kuglann|Klaudia|06.12.2004|||Inden||01234-445226|K.Kuglann@smail.de||||||51||EF|||||27.02.2014|N|2|0189-677646||sophie.rehmann@neg-velbert.de|N
Linneborn|Daniel|24.08.2004|||Düsseldorf||01234-368131|D.Linneborn@smail.de||||||51||EF|||||28.02.2014|N|2|0189-501268||jan.hilcker@neg-velbert.de|N
Lippmann|Kathrin, Katrin|07.08.2004|||Korschenbroich||01234-455683|K.Lippmann@smail.de||||||51||EF|||||26.02.2014|N|2|0189-328211||michelle.simonis@neg-velbert.de|N
Ludwig|Philipp|13.11.2004|||Leverkusen||01234-602686|P.Ludwig@smail.de||||||51||EF|||||09.09.2016|N|2|0189-651600||luca.geisthardt@neg-velbert.de|N
Melchers|Katja|11.04.2004|||Mülheim||01234-126607|K.Melchers@smail.de||||||51||EF|||||28.02.2014|N|2|0189-468194||julie.klemm@neg-velbert.de|N
Menzel|Jens|21.02.2003|||Düsseldorf||01234-612653|J.Menzel@smail.de||||||51||EF|||||01.08.2013|N|2|0189-174367||julian.claus@neg-velbert.de|N
Müller|Jan|23.12.2004|||Bonn||01234-816827|J.Müller@smail.de|134|||||51||EF|||||28.02.2014|N|2|0189-810003||nektarios.tzitzos@neg-velbert.de|N
Naundorf|Anke|12.11.2003|||Paderborn||01234-133629|A.Naundorf@smail.de||||||||EF|||||01.07.2015|N|2|0189-984685||sara.bukilic@neg-velbert.de|N
Neuendorff|Leon|16.06.2004|||Bochum||01234-277459|L.Neuendorff@smail.de||||||51||EF|||||28.02.2014|N|2|0189-634484||luis.schwark@neg-velbert.de|N
Niehaus|Phillipp|28.07.2004|||Bad Oeynhausen||01234-134736|P.Niehaus@smail.de||||||51||EF|||||27.02.2014|N|2|0189-622976||kevin.kim@neg-velbert.de|N
Oelschlaeger|Jens|30.04.2003|||Schöppingen||01234-759397|J.Oelschlaeger@smail.de||||||51||EF|||||11.07.2016|N|2|0189-586298||malte.kuepper@neg-velbert.de|N
Onckels|Sabrina|09.12.2003|||Winterberg||01234-834170|S.Onckels@smail.de||||||51||EF|||||28.02.2014|N|2|0189-860435||mara.walder@neg-velbert.de|N
Pauli|Bernd|22.06.2004|||Neuss||01234-977314|B.Pauli@smail.de||||||51||EF|||||10.03.2014|N|2|0189-604922||pascal.brandenbusch@neg-velbert.de|N
Peter|Benjamin|23.07.2004|||Wilnsdorf||01234-225023|B.Peter@smail.de|137|||||51||EF|||||27.02.2014|N|2|0189-998474||tiziano.guccione@neg-velbert.de|N
Pfirrmann|Petra|07.08.2004|||Hamm||01234-234551|P.Pfirrmann@smail.de||||||51||EF|||||27.02.2014|N|2|0189-943602||enya.knauer@neg-velbert.de|N
Pogalis|Sabrina|03.10.2004|||Willich||01234-346063|S.Pogalis@smail.de|134|||||51||EF|||||27.02.2014|N|2|0189-389501||lydia.demertzi@neg-velbert.de|N
Rieck|Gabriele|22.10.2003|||Duisburg||01234-559328|G.Rieck@smail.de||||||51||EF|||||23.05.2014|N|2|0189-893017||lena.siewert@neg-velbert.de|N
Riekend|Stephanie|23.10.2004|||Köln||01234-642198|S.Riekend@smail.de||||||51||EF|||||26.02.2014|N|2|0189-128356||ana.paunovic@neg-velbert.de|N
Rumpschlag|Markus|15.08.2003|||Dortmund||01234-811471|M.Rumpschlag@smail.de||||||51|||||||01.08.2013|N|2|0189-571263||philipp.weber@neg-velbert.de|N
Ryll|Mario|27.11.2003|||Sundern||01234-482651|M.Ryll@smail.de||||||51||EF|||||28.02.2014|N|2|0189-587708||tuemay.gueven@neg-velbert.de|N
Scheen|Simone|02.06.2004|||Mönchengladbach||01234-752883|S.Scheen@smail.de||||||51||EF|||||27.02.2014|N|2|0189-167160||sonja.szczepanski@neg-velbert.de|N
Scherf|Phillipp|26.11.2003|||Eitorf||01234-556781|P.Scherf@smail.de||||||51|31.07.2020|Q1|01.08.2020||||23.08.2016|N|2|0189-781133||ibrahim.alioui@neg-velbert.de|N
Schieche|Paul|20.09.2002|||Wuppertal||01234-249732|P.Schieche@smail.de||||||51||EF|||||07.03.2019|N|2|0189-309707||ahmed.cebe@neg-velbert.de|N
Scholer|Kristian|29.08.2003|||Wuppertal||01234-641655|K.Scholer@smail.de||||||51||EF|||||26.02.2014|N|2|0189-444849||ibrahim.kahraman@neg-velbert.de|N
Selmann|Christine|12.10.2003|||Köln||01234-624936|C.Selmann@smail.de|170|||||51||EF|||||27.02.2014|N|2|0189-212575||lana.salonski@neg-velbert.de|N
Skala|Sara|18.04.2004|||Bergkamen||01234-503947|S.Skala@smail.de||||||51||EF|||||28.02.2014|N|2|0189-282333||tatjana.kristo@neg-velbert.de|N
Sönnicksen|Sandra|07.10.2004|||Remscheid||01234-526579|S.Sönnicksen@smail.de||||||51||EF|||||28.02.2014|N|2|0189-420227||selin.karaman@neg-velbert.de|N
Spica|Jessica|04.07.2004|||Gelsenkirchen||01234-898790|J.Spica@smail.de||||||51||EF|||||26.02.2014|N|2|0189-239672||laura.schulte@neg-velbert.de|N
Stache|Jessika|30.11.2002|||Essen||01234-239080|J.Stache@smail.de||||||51||EF|||||06.03.2019|N|2|0189-827432||sinem.kolcak@neg-velbert.de|N
Sünkes|Manuela|24.08.2002|||Nümbrecht||01234-419546|M.Sünkes@smail.de||||||51|||||||01.08.2013|N|2|0189-259108||jasmin.haendel@neg-velbert.de|N
Thielen|Frank|15.01.2005|||Bocholt||01234-713614|F.Thielen@smail.de||||||52||EF|||||27.02.2014|N|2|0189-995141||mika.moeller@neg-velbert.de|N
Thomas|Stefan|15.09.2004|||Balve||01234-788675|S.Thomas@smail.de|252|||||51||EF|||||30.05.2017|N|2|0189-659773||elias.boudhim@neg-velbert.de|N
Threinen|Manuela|08.02.2003|||Aachen||01234-142362|M.Threinen@smail.de||||||51|||||||01.08.2013|N|2|0189-192022||hale.tueblueker@neg-velbert.de|N
Tretow|Melanie|18.12.2004|||Mönchengladbach||01234-220598|M.Tretow@smail.de|163|||||51||EF|||||27.02.2014|N|2|0189-330636||melis.demiralay@neg-velbert.de|N
van Dülmen|Diana|14.09.2005|||Halle||01234-657781|D.van Dülmen@smail.de|130|||||51||EF|||||26.02.2014|N|2|0189-112791||anna.varivoda@neg-velbert.de|N
Varensell|Stefan|08.08.2004|||Detmold||01234-134628|S.Varensell@smail.de||||||51||EF|||||12.12.2016|N|2|0189-334819||tom.geiermann@neg-velbert.de|N
Volmert|Marco|21.03.2003|||Stolberg||01234-208873|M.Volmert@smail.de||||||51||EF|||||06.03.2019|N|2|0189-764000||dorian.moll@neg-velbert.de|N
Wackerow|Steffen|04.12.2003|||Düsseldorf||01234-892274|S.Wackerow@smail.de||||||51||EF|||||27.02.2014|N|2|0189-337936||pascal.platz@neg-velbert.de|N
Walther|Kerstin|16.04.2004|||Frechen||01234-723436|K.Walther@smail.de||||||51||EF|||||28.02.2014|N|2|0189-546111||naife.sakka@neg-velbert.de|N
Wanders|Klaus|14.06.2004|||Neukirchen-Vluyn||01234-212311|K.Wanders@smail.de||||||51||EF|||||28.02.2014|N|2|0189-870545||till.schneider@neg-velbert.de|N
Warburg|Annett|16.07.2004|||Essen||01234-120993|A.Warburg@smail.de||||||51||EF|||||26.02.2014|N|2|0189-589320||melissa.kaplan@neg-velbert.de|N
Wiegmann|Nadine|13.07.2004|||Bonn||01234-974084|N.Wiegmann@smail.de|163|||||51||EF|||||28.02.2014|N|2|0189-509216||jule.becker@neg-velbert.de|N
Wischnewski|Laura|12.09.2002|||Hövelhof||01234-946758|L.Wischnewski@smail.de||||||51||EF|||||06.03.2019|N|2|0189-685064||nicole.pietrek@neg-velbert.de|N
Zech|Monika|03.02.2004|||Heimbach||01234-166043|M.Zech@smail.de||||||51||EF|||||27.02.2014|N|2|0189-790201||tara.kraska@neg-velbert.de|N
Zibulski|Gabriele|01.08.2004|||Raesfeld||01234-854424|G.Zibulski@smail.de||||||51||EF|||||02.02.2015|N|2|0189-484714||fiorella.kosiba@neg-velbert.de|N
